TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FESA3;12,59;3,22;17,35;1,32;1,02;16,15;7,54;11,80;27,16;17,10;-3,21;-0,16;2,05;3,55;-1,76;3,24;7,63;5,90;3,89;0,77;0,22;0,50;23,14;-1,03;3.370,05;9,51;0,73;-0,37;3.325.731.250,00
FESA4;7,84;5,67;10,83;0,83;0,64;16,15;7,54;11,80;16,95;17,10;-3,21;-0,16;1,28;2,22;-1,10;3,24;7,63;5,90;3,89;0,77;0,22;0,50;23,14;-1,03;3.372.452,00;9,51;0,73;-0,23;3.325.731.250,00
FHER3;3,54;;-0,36;-0,40;0,07;3,44;-4,47;-11,35;-0,92;-0,76;0,16;;0,04;-1,01;-0,21;0,91;-110,03;-18,67;47,11;-0,17;1,17;1,64;7,66;;10.950,65;-8,91;-9,80;-0,01;191.193.358,20
FIEI3;11,00;;-2,37;0,35;0,26;32,12;-274,14;-384,78;-3,33;-4,50;-1,18;0,12;9,12;5,35;-0,31;1,41;-14,63;-10,79;-9,30;0,74;0,26;0,03;-18,70;;6.237,90;31,73;-4,64;0,01;26.643.683,00
FIGE3;11,94;0,38;2,49;0,17;0,17;100,00;92,02;62,87;1,70;0,57;;;1,57;14.112,70;-0,17;;6,96;6,84;;0,98;0,02;0,11;8,36;1,46;0,00;68,86;4,79;0,10;9.457.960,56
FIGE4;0,00;;0,00;0,00;0,00;100,00;92,02;62,87;0,00;0,57;;;0,00;0,00;0,00;;6,96;6,84;;0,98;0,02;0,11;8,36;1,46;;68,86;4,79;0,00;9.457.960,56
FIQE3;3,84;5,56;5,12;1,18;0,61;38,76;25,99;27,26;5,37;5,61;0,23;0,05;1,40;5,00;-0,90;1,62;23,13;12,00;12,45;0,52;0,48;0,44;;;1.281.421,15;3,23;0,75;0,05;1.386.650.002,47
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;80,12;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FLRY3;13,55;5,54;12,09;1,39;0,57;27,69;15,66;8,13;6,27;8,74;2,48;0,55;0,98;3,50;-0,86;1,93;11,48;4,71;9,52;0,41;0,58;0,58;19,42;13,10;39.488.217,15;9,76;1,12;0,19;7.398.022.671,52
FNCN3;14,25;;-0,07;0,02;0,00;-45,24;-83,42;-50,05;-0,04;-0,04;;;0,03;0,02;-0,03;1,43;-28,51;-6,51;;0,23;0,77;0,13;18,40;;;739,68;-210,92;0,00;13.021.336,50
FRAS3;20,42;2,99;17,14;2,69;1,24;31,64;11,92;8,93;12,84;13,57;0,72;0,15;1,53;3,58;-3,30;2,26;15,71;7,26;8,45;0,46;0,53;0,81;24,32;28,07;4.901.865,20;7,58;1,19;-17,49;5.513.733.724,06
FRIO3;160,00;;52,41;2,96;0,55;17,53;6,49;0,91;7,35;11,79;4,44;1,79;0,48;6,11;-1,71;1,15;5,64;1,05;9,64;0,19;0,77;1,15;10,44;;1.066.318,70;54,12;3,05;-0,44;1.005.806.880,00
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;5.715,83;-36,95;-2,65;-0,11;2.690.223,86
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;2,19;;-2,03;0,33;0,31;100,00;113,89;122,19;-2,18;-2,20;0,01;0,00;;13,41;-0,33;2,16;-16,08;-15,33;-14,37;0,95;0,05;-0,13;;;72.136,95;6,71;-1,08;0,01;256.575.745,24
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;33,50;18,02;3,80;1,49;0,89;13,64;24,48;59,30;9,20;9,96;1,35;0,22;2,25;-7,94;-1,03;0,54;39,21;23,45;11,37;0,60;0,40;0,40;1,08;26,61;6.109,45;22,48;8,82;0,03;2.962.057.310,10
GEPA4;30,40;19,92;3,44;1,35;0,81;13,64;24,48;59,30;8,32;9,96;1,35;0,22;2,04;-7,18;-0,93;0,54;39,21;23,45;11,37;0,60;0,40;0,40;1,08;26,61;9.327,85;22,48;8,82;0,02;2.962.057.310,10
GETT11;4,81;;15,12;2,48;0,16;41,43;18,41;17,71;14,55;;0,99;0,17;2,68;6,28;-3,92;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,13;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;10,57;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GFSA3;1,42;;1,51;0,09;0,03;-12,78;8,82;12,31;2,10;20,52;18,40;0,75;0,19;0,13;-0,09;1,64;5,69;2,20;0,84;0,39;0,61;0,18;2,81;;8.471.402,30;16,67;0,95;-0,01;166.948.267,68
GGBR3;19,40;4,14;8,33;0,73;0,49;11,06;11,38;7,44;5,44;6,07;0,50;0,07;0,62;1,84;-0,82;2,98;8,73;5,90;9,64;0,68;0,32;0,79;17,42;;2.895.210,05;26,60;2,32;-0,20;41.133.791.211,90
GGBR4;19,83;4,03;8,54;0,75;0,50;11,06;11,38;7,44;5,58;6,07;0,50;0,07;0,64;1,89;-0,84;2,98;8,73;5,90;9,64;0,68;0,32;0,79;17,42;;221.833.181,60;26,60;2,32;-0,21;41.133.791.211,90
GGPS3;17,78;1,79;17,85;3,49;0,83;16,04;9,12;4,97;9,72;11,30;1,60;0,58;0,89;2,72;-1,78;2,33;19,58;4,65;11,06;0,24;0,76;0,94;26,58;27,32;39.889.028,30;5,09;1,00;1,35;11.978.671.475,25
GMAT3;7,15;2,71;11,91;1,70;0,88;22,34;6,45;4,29;7,92;9,51;1,57;0,34;0,51;2,76;-2,27;2,09;14,30;7,41;14,15;0,52;0,48;1,73;31,22;34,74;25.723.902,15;4,20;0,60;0,74;15.818.917.925,64
GNDI3;66,95;;-3.584,81;5,84;2,38;18,55;3,28;-0,10;104,45;109,34;4,90;0,27;3,42;79,65;-3,01;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;;11,47;-0,02;35,34;41.526.443.086,05
GOAU3;11,01;4,09;6,79;0,59;0,14;13,58;11,35;2,53;1,52;1,99;0,47;0,18;0,17;0,51;-0,23;3,00;8,70;2,00;9,36;0,23;0,32;0,79;8,35;15,53;588.280,15;18,63;1,62;-0,17;11.193.147.730,17
GOAU4;11,01;4,09;6,78;0,59;0,14;13,58;11,35;2,53;1,51;1,99;0,47;0,18;0,17;0,51;-0,23;3,00;8,70;2,00;9,36;0,23;0,32;0,79;8,35;15,53;85.886.882,90;18,63;1,62;-0,17;11.193.147.730,17
GOLL4;1,19;;-1,86;-0,16;0,17;31,71;10,62;-10,98;1,92;9,12;8,86;;0,20;-0,24;-0,26;0,30;-8,53;-9,39;-36,27;-1,10;2,10;0,85;10,47;;4.893.339,40;-7,50;-0,64;0,00;500.292.463,65
GPAR3;47,00;;19,48;4,89;4,52;12,21;106,79;163,77;29,88;28,43;-1,45;-0,24;31,91;15,84;-6,46;20,08;25,08;23,19;15,83;0,92;0,08;0,14;-9,31;-33,19;235,00;9,62;2,41;-5,33;3.744.795.594,00
GPIV33;3,95;;0,98;;0,10;100,00;47,54;49,76;1,02;-0,59;-1,61;;0,49;;-0,12;;;9,85;777,98;0,00;1,00;0,20;;;58.920,15;0,00;4,04;-0,01;267.552.803,65
GRAO3;0,00;;0,00;0,00;0,00;6,27;5,10;1,17;0,00;2,47;2,47;1,10;0,00;0,00;0,00;0,89;10,22;2,46;18,38;0,24;0,76;2,11;68,24;;;2,16;0,22;0,00;0,00
GRND3;5,40;5,89;7,41;1,26;1,14;46,11;15,97;26,00;12,06;9,28;-2,78;-0,29;1,93;1,97;-3,48;7,23;17,07;15,40;8,90;0,90;0,10;0,59;0,84;2,36;4.832.539,95;4,27;0,73;0,27;4.871.664.000,00
GSHP3;7,50;;-0,04;-0,01;0,01;50,04;32,68;-200,18;0,26;36,23;35,97;;0,08;-2,07;-0,01;0,97;-32,20;-23,17;5,12;-0,72;1,72;0,12;-9,39;;2.661,00;-551,54;-177,58;0,00;14.465.767,50
GUAR3;8,03;1,50;18,63;0,78;0,31;58,61;8,30;2,30;5,17;6,33;1,12;0,17;0,43;1,39;-0,81;1,55;4,17;1,65;8,49;0,40;0,60;0,72;4,11;-29,52;11.106.581,60;10,33;0,43;-0,08;4.033.536.000,00
HAGA3;2,49;;6,98;-0,58;0,45;26,58;4,07;14,50;24,88;-3,38;-20,40;;1,01;0,89;-3,95;2,34;-8,28;6,44;2,28;-0,78;1,78;0,44;4,66;-6,57;33.408,00;-4,31;0,36;-0,17;20.269.667,06
HAGA4;1,33;;3,73;-0,31;0,24;26,58;4,07;14,50;13,29;-3,38;-20,40;;0,54;0,47;-2,11;2,34;-8,28;6,44;2,28;-0,78;1,78;0,44;4,66;-6,57;36.300,85;-4,31;0,36;-0,09;20.269.667,06
HAPV3;3,01;;-41,38;0,47;0,31;5,66;5,99;-2,45;16,95;19,68;2,73;0,08;1,02;8,47;-0,35;1,39;-1,13;-0,74;2,14;0,66;0,34;0,30;43,42;;269.220.009,20;6,46;-0,07;1,00;22.769.179.054,26
HBOR3;1,79;5,03;4,54;0,17;0,04;32,45;18,16;4,07;1,02;8,46;7,45;1,24;0,18;0,13;-0,09;1,97;3,73;0,83;4,58;0,22;0,60;0,20;15,03;;1.281.695,35;10,68;0,40;0,14;240.931.929,60
HBRE3;4,15;;4,36;0,21;0,09;80,06;262,88;62,31;1,03;4,04;3,00;0,62;2,72;1,70;-0,10;1,88;4,90;2,04;8,33;0,42;0,43;0,03;21,77;-11,16;2.750.143,05;19,49;0,95;0,05;430.298.050,77
HBSA3;3,21;;-6,67;1,81;0,37;19,02;-1,55;-22,21;-95,78;-246,28;-151,10;2,85;1,48;-8,27;-0,47;0,82;-27,11;-5,58;-2,55;0,21;0,79;0,25;8,87;;9.063.815,45;1,78;-0,48;0,01;2.433.224.457,60
HBTS3;0,00;;0,00;0,00;0,00;75,97;61,70;55,25;0,00;;1,06;0,31;0,00;0,00;0,00;2,10;26,55;11,39;19,79;0,43;0,57;0,21;38,16;;;74,16;19,69;0,00;
HBTS5;30,99;6,44;1,57;0,42;0,18;75,97;61,70;55,25;1,41;;1,06;0,31;0,87;2,58;-0,21;2,10;26,55;11,39;19,79;0,43;0,57;0,21;38,16;;1.220,55;74,16;19,69;0,02;
HBTS6;0,00;;0,00;0,00;0,00;75,97;61,70;55,25;0,00;;1,06;0,31;0,00;0,00;0,00;2,10;26,55;11,39;19,79;0,43;0,57;0,21;38,16;;;74,16;19,69;0,00;
HETA3;96,00;;60,97;-0,14;3,41;100,00;89,30;19,30;13,18;92,38;87,37;;11,77;-40,36;-4,54;0,75;-0,23;5,59;-12,91;-24,46;25,46;0,29;20,28;-9,79;0,00;-689,22;1,57;-0,61;18.620.274,45
HETA4;6,45;;4,10;-0,01;0,23;100,00;89,30;19,30;0,89;92,38;87,37;;0,79;-2,71;-0,30;0,75;-0,23;5,59;-12,91;-24,46;25,46;0,29;20,28;-9,79;2.552,65;-689,22;1,57;-0,04;18.620.274,45
HGTX3;37,50;;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;63,73;120,49;64,76;0,00;0,05;-0,07;;0,00;0,00;0,00;0,27;-65,54;18,31;-94,55;-0,28;1,35;0,28;13,48;;;-7,86;5,15;0,00;19.657.290,06
HOOT4;2,51;;0,49;-0,32;0,09;63,73;120,49;64,76;0,26;0,05;-0,07;;0,32;-0,24;-0,10;0,27;-65,54;18,31;-94,55;-0,28;1,35;0,28;13,48;;10.638,10;-7,86;5,15;-0,02;19.657.290,06
HYPE3;20,76;5,70;8,40;1,08;0,51;60,95;29,18;20,16;5,80;8,94;3,12;0,58;1,69;3,34;-0,77;1,81;12,84;6,06;9,51;0,47;0,53;0,30;16,27;6,79;271.840.872,20;19,28;2,48;-0,74;13.219.492.576,01
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;0,12;;-0,04;-0,76;0,05;29,21;-159,54;-182,47;-0,05;-0,49;-0,44;;0,08;-0,39;-0,09;0,75;-1.809,59;-126,38;-229,15;-0,07;1,07;0,69;60,53;;977.687,10;-0,16;-2,87;0,00;76.498.004,16
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;;-520,56;312,87;0,00;220.074.791,04
IGSN3;0,00;;0,00;0,00;0,00;33,76;20,04;-12,03;0,00;12,71;12,71;2,71;0,00;0,00;0,00;0,86;-12,82;-2,42;3,12;0,19;0,81;0,20;25,77;;;5,73;-0,73;0,00;0,00
IGTA3;33,00;;10,61;1,37;0,77;64,14;56,32;49,62;9,35;10,82;1,47;0,22;5,27;3,56;-1,16;2,80;12,88;7,24;7,24;0,56;0,44;0,15;7,57;14,89;;24,15;3,11;0,02;5.444.845.626,00
IGTI11;19,90;3,38;21,33;1,89;0,97;66,53;55,62;31,62;12,13;10,77;2,86;0,45;6,74;6,42;-1,27;2,69;8,87;4,53;7,74;0,51;0,49;0,14;9,87;27,99;45.751.774,00;10,50;0,93;0,59;5.263.692.967,90
IGTI3;2,37;4,06;7,63;0,68;0,35;66,53;55,62;31,62;4,34;10,77;2,86;0,45;2,41;2,30;-0,45;2,69;8,87;4,53;7,74;0,51;0,49;0,14;9,87;27,99;135.710,45;3,50;0,31;0,21;5.263.692.967,90
IGTI4;8,89;3,24;28,62;2,54;1,30;66,53;55,62;31,62;16,27;10,77;2,86;0,45;9,05;8,62;-1,70;2,69;8,87;4,53;7,74;0,51;0,49;0,14;9,87;27,99;1.577,05;3,50;0,31;0,80;5.263.692.967,90
INEP3;1,39;;0,12;-0,05;0,06;-72,83;-2.075,77;11.851,47;-0,69;-10,77;-10,09;;14,37;-0,06;-0,06;0,09;-39,68;46,22;212,22;-1,16;2,16;0,00;-33,23;;37.751,20;-28,90;11,47;0,00;60.842.036,98
INEP4;1,33;4,49;0,12;-0,05;0,05;-72,83;-2.075,77;11.851,47;-0,66;-10,77;-10,09;;13,75;-0,06;-0,06;0,09;-39,68;46,22;212,22;-1,16;2,16;0,00;-33,23;;21.953,60;-28,90;11,47;0,00;60.842.036,98
INNT3;0,00;;0,00;0,00;0,00;34,46;16,60;13,41;0,00;4,26;4,26;1,57;0,00;0,00;0,00;0,92;29,78;4,92;12,28;0,17;0,83;0,37;18,84;5,52;;2,41;0,72;0,00;0,00
INTB3;16,59;2,94;9,27;1,91;0,91;30,29;12,40;12,67;9,46;9,25;-0,27;-0,05;1,17;2,35;-3,79;2,05;20,62;9,86;14,71;0,48;0,52;0,78;23,30;29,27;26.935.093,05;8,68;1,79;0,74;5.471.105.537,00
IRBR3;40,04;;6,37;0,69;0,21;8,62;8,55;8,81;6,56;6,56;;;0,56;3,96;-0,30;1,20;10,82;3,23;;0,30;0,70;0,37;0,10;-15,74;60.301.879,95;58,17;6,29;-0,01;3.299.569.411,32
ISAE3;30,68;7,18;6,11;1,00;0,50;50,06;68,92;46,37;4,11;5,46;1,84;0,45;2,83;4,60;-0,59;2,98;16,35;8,14;13,36;0,50;0,50;0,18;14,31;11,95;62.607,45;30,70;5,02;0,15;17.810.479.680,12
ISAE4;24,12;9,15;4,80;0,78;0,39;50,06;68,92;46,37;3,23;5,46;1,84;0,45;2,22;3,61;-0,47;2,98;16,35;8,14;13,36;0,50;0,50;0,18;14,31;11,95;37.802.825,10;30,70;5,02;0,12;17.810.479.680,12
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;10,41;9,48;7,65;1,24;0,96;30,14;188,74;172,93;7,01;7,26;0,27;0,05;13,23;12,87;-1,09;2,61;16,24;12,55;14,52;0,77;0,19;0,07;6,55;8,27;1.204.553,30;8,37;1,36;4,51;107.106.107.172,45
ITSA4;10,33;6,64;7,61;1,24;0,95;30,14;188,74;172,93;6,97;7,26;0,27;0,05;13,15;12,79;-1,09;2,61;16,24;12,55;14,52;0,77;0,19;0,07;6,55;8,27;196.879.841,40;8,37;1,36;4,49;107.106.107.172,45
ITUB3;29,64;7,93;7,44;1,44;0,10;42,37;13,96;12,23;6,52;7,05;;;0,91;;-0,11;;19,38;1,40;;0,07;0,92;0,11;18,99;9,40;13.112.192,60;20,54;3,98;0,33;314.151.000.629,76
ITUB4;34,29;6,85;8,62;1,67;0,12;42,37;13,96;12,23;7,55;7,05;;;1,05;;-0,12;;19,38;1,40;;0,07;0,92;0,11;18,99;9,40;685.554.241,50;20,54;3,98;0,38;314.151.000.629,76
JALL3;5,14;1,32;13,62;0,75;0,23;28,90;21,73;5,90;3,70;10,71;6,99;1,42;0,80;1,13;-0,34;2,88;5,52;1,71;6,52;0,31;0,69;0,29;20,16;9,91;4.520.741,65;6,84;0,38;-0,19;1.569.311.436,88
JBSS3;35,02;5,71;10,66;1,66;0,34;14,24;5,02;1,84;3,90;7,67;3,76;1,60;0,20;2,65;-0,58;1,47;15,60;3,22;10,83;0,21;0,77;1,75;14,90;210,62;240.762.146,80;21,06;3,28;0,02;77.789.341.095,90
JFEN3;0,22;;-0,35;0,43;0,05;-17,94;-89,46;-116,05;-0,46;-2,42;-1,96;1,83;0,41;0,13;-0,33;1,99;-120,61;-15,36;-41,03;0,13;0,97;0,13;-3,21;;232.477,60;0,49;-0,60;0,00;51.738.627,78
JHSF3;4,39;7,74;4,70;0,58;0,25;60,41;71,28;39,92;2,63;4,96;2,31;0,51;1,88;1,48;-0,36;2,16;12,40;5,30;9,67;0,43;0,54;0,13;26,82;28,32;9.922.756,70;7,53;0,93;0,08;2.995.838.865,81
JOPA3;21,01;2,06;6,39;0,37;0,10;23,15;6,51;1,58;1,55;5,27;3,70;0,88;0,10;0,23;-0,36;2,45;5,80;1,54;5,65;0,27;0,66;0,98;13,87;7,58;105,50;56,69;3,29;0,02;224.170.615,57
JOPA4;34,98;1,36;10,65;0,62;0,16;23,15;6,51;1,58;2,59;5,27;3,70;0,88;0,17;0,38;-0,60;2,45;5,80;1,54;5,65;0,27;0,66;0,98;13,87;7,58;0,00;56,69;3,29;0,03;224.170.615,57
JSLG3;6,75;4,70;7,50;1,04;0,15;17,75;14,11;2,95;1,57;6,41;4,84;3,21;0,22;0,94;-0,24;1,74;13,84;2,01;11,69;0,15;0,85;0,68;-1,27;14,42;3.684.181,70;6,49;0,90;-0,24;1.927.681.154,94
KEPL3;10,27;9,34;7,32;2,44;1,19;30,43;19,70;15,27;5,67;5,27;-0,43;-0,19;1,12;3,21;-3,90;2,14;33,38;16,24;22,67;0,49;0,51;1,06;21,28;98,04;11.091.069,35;4,20;1,40;-1,56;1.851.117.339,00
KLBN11;20,50;6,41;12,28;2,54;0,43;35,44;21,64;10,93;6,21;13,30;7,08;2,90;1,34;3,16;-0,57;2,30;20,66;3,50;7,32;0,17;0,80;0,32;12,47;71,91;99.064.904,05;8,08;1,67;-0,43;25.410.852.511,47
KLBN3;4,11;6,38;12,34;2,55;0,43;35,44;21,64;10,93;6,23;13,30;7,08;2,90;1,35;3,17;-0,57;2,30;20,66;3,50;7,32;0,17;0,80;0,32;12,47;71,91;1.274.100,45;1,62;0,33;-0,44;25.410.852.511,47
KLBN4;4,10;6,41;12,28;2,54;0,43;35,44;21,64;10,93;6,20;13,30;7,08;2,90;1,34;3,16;-0,57;2,30;20,66;3,50;7,32;0,17;0,80;0,32;12,47;71,91;5.872.786,45;1,62;0,33;-0,43;25.410.852.511,47
KRSA3;6,41;;-4,92;0,54;0,10;20,00;12,91;-4,42;1,69;10,63;8,94;2,87;0,22;1,35;-0,15;1,39;-10,98;-2,13;7,11;0,19;0,78;0,48;;;251.053,05;11,86;-1,30;0,09;497.262.802,58
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAND3;11,40;0,76;41,25;1,51;1,19;93,21;60,03;37,44;25,73;27,76;1,92;0,11;15,45;-31,91;-1,22;0,44;3,67;2,88;4,23;0,79;0,21;0,08;;;382.287,75;7,56;0,28;-0,51;1.106.610.063,00
LAVV3;8,54;9,27;5,48;1,18;0,63;25,90;25,85;25,27;5,35;5,09;-0,27;-0,06;1,38;0,99;-3,09;4,83;21,56;11,41;13,85;0,53;0,40;0,45;122,69;;6.085.624,35;7,22;1,56;0,07;1.702.028.022,56
LCAM3;24,15;;13,62;0,72;0,62;19,75;14,05;10,45;10,13;7,24;-2,89;-0,21;1,42;2,75;-0,89;3,91;5,29;4,53;4,86;0,86;0,14;0,43;21,58;36,66;;33,51;1,77;0,22;12.285.815.275,65
LEVE3;27,81;8,43;6,44;3,39;1,15;29,73;19,60;13,74;4,51;5,16;0,63;0,47;0,88;3,32;-3,23;2,16;52,72;17,87;28,77;0,34;0,66;1,30;10,86;14,93;11.044.805,70;8,18;4,32;-0,35;3.780.182.710,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;4,35;;-8,03;0,57;0,07;17,04;9,04;-1,40;1,24;8,45;7,21;3,30;0,11;-0,17;-0,09;0,37;-7,09;-0,85;6,63;0,12;0,88;0,61;3,35;;5.527.188,15;7,64;-0,54;0,08;1.613.164.552,92
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;47,50;0,81;23,75;2,38;2,34;;;;26,26;23,05;-3,21;-0,29;;7,88;-3,34;87,60;10,03;9,84;7,15;0,98;0,02;0,00;;12,29;0,00;19,93;2,00;9,64;558.832.227,50
LJQQ3;2,73;6,20;9,82;0,94;0,15;34,73;5,47;2,08;3,74;3,19;-0,58;-0,15;0,20;0,49;-0,50;1,73;9,58;1,48;11,90;0,15;0,85;0,71;15,23;22,70;14.176.252,45;2,89;0,28;-0,04;534.499.228,14
LOGG3;22,56;3,09;6,25;0,53;0,30;97,54;193,56;150,13;4,85;8,63;3,79;0,42;9,39;5,17;-0,36;1,45;8,54;4,75;6,94;0,56;0,44;0,03;16,00;48,82;5.804.960,40;42,29;3,61;0,07;1.980.345.331,16
LOGN3;23,16;;-74,84;2,66;0,66;14,46;10,64;-1,27;8,94;13,75;4,77;1,42;0,95;11,91;-0,91;1,26;-3,55;-0,89;8,41;0,25;0,75;0,70;19,06;;1.326.197,50;8,72;-0,31;0,69;2.498.094.994,08
LPSB3;1,65;2,46;20,01;1,07;0,61;84,83;24,99;6,61;5,29;3,97;-1,41;-0,29;1,32;5,41;-0,85;1,70;5,33;3,06;16,04;0,57;0,44;0,46;10,78;;174.463,30;1,55;0,08;-0,43;247.891.780,08
LREN3;16,30;3,97;12,69;1,51;0,82;60,63;9,25;8,77;12,04;11,04;-1,07;-0,13;1,11;3,57;-1,97;1,64;11,89;6,45;9,96;0,54;0,46;0,73;10,12;3,92;244.111.520,45;10,79;1,28;0,39;15.787.290.415,27
LTEL3B;86,61;1,71;22,19;4,97;4,95;;;;22,11;22,09;-0,03;-0,01;;447,18;-5,02;5,13;22,38;22,32;22,26;1,00;0,00;0,00;;-30,33;;17,44;3,90;-1,52;18.664.056.853,83
LUPA3;1,31;;0,95;0,42;0,12;21,84;-17,54;48,48;-2,63;-9,51;-6,88;1,09;0,46;2,19;-0,16;1,23;43,89;12,28;-8,26;0,28;0,72;0,25;-7,38;;358.853,60;3,14;1,38;0,02;55.189.931,89
LUXM3;0,00;;0,00;0,00;0,00;30,41;15,97;10,72;0,00;6,62;-0,36;-0,06;0,00;0,00;0,00;0,90;10,92;7,92;10,51;0,73;0,27;0,74;1,03;17,46;;6,14;0,67;0,00;144.784.080,00
LUXM4;12,49;1,78;18,63;2,03;1,48;30,41;15,97;10,72;12,51;6,62;-0,36;-0,06;2,00;-104,93;-1,69;0,90;10,92;7,92;10,51;0,73;0,27;0,74;1,03;17,46;3.621,95;6,14;0,67;-3,82;144.784.080,00
LVTC3;3,40;;26,64;0,34;0,16;24,38;6,02;0,99;4,38;3,24;-1,05;-0,08;0,26;0,88;-0,25;1,97;1,26;0,59;7,28;0,47;0,53;0,60;;;71.919,30;10,11;0,13;-0,02;215.327.999,79
LWSA3;4,17;1,72;171,64;0,81;0,57;48,19;8,49;1,01;20,45;16,30;-4,29;-0,17;1,74;6,63;-0,88;1,33;0,47;0,33;3,40;0,71;0,29;0,33;32,63;4,67;26.887.616,75;5,14;0,02;-0,68;2.364.123.207,60
MAPT3;4,21;;-21,86;-0,60;5,00;;;;-21,98;-24,07;0,00;;;-297,58;-5,00;0,00;-2,77;-22,90;2,75;-8,28;9,28;0,00;;;0,00;-6,96;-0,19;-0,95;4.235.455,55
MAPT4;5,00;;-25,96;-0,72;5,94;;;;-26,11;-24,07;0,00;;;-353,42;-5,94;0,00;-2,77;-22,90;2,75;-8,28;9,28;0,00;;;500,45;-6,96;-0,19;-1,13;4.235.455,55
